,tail_num,manufacturer,model
0,N582AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
1,N439AA,MCDONNELL DOUGLAS,DC-9-83(MD-83)
2,N553AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
3,N558AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
4,N536AA,AMERICAN AIRCRAFT INC,FALCON XP
5,N426AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
6,N595AA,MCDONNELL DOUGLAS,DC-9-83(MD-83)
7,N915XJ,BOMBARDIER INC,CL-600-2D24
8,N916XJ,BOMBARDIER INC,CL-600-2D24
9,N932XJ,BOMBARDIER INC,CL-600-2D24
10,N901XJ,BOMBARDIER INC,CL-600-2D24
11,N906XJ,BOMBARDIER INC,CL-600-2D24
12,N933XJ,BOMBARDIER INC,CL-600-2D24
13,N372AA,SIKORSKY,EH-60A
14,N294JB,EMBRAER,ERJ 190-100 IGW
15,N334JB,EMBRAER,ERJ 190-100 IGW
16,N590AA,MCDONNELL DOUGLAS,DC-9-83(MD-83)
17,N482AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
18,N966DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
19,N15980,EMBRAER,EMB-145LR
20,N12166,EMBRAER,EMB-145XR
21,N11548,EMBRAER,EMB-145LR
22,N12163,EMBRAER,EMB-145XR
23,N21537,EMBRAER,EMB-145LR
24,N15555,EMBRAER,EMB-145LR
25,N11539,EMBRAER,EMB-145LR
26,N14916,EMBRAER,EMB-145LR
27,N16147,EMBRAER,EMB-145XR
28,N13202,EMBRAER,EMB-145XR
29,N11164,EMBRAER,EMB-145XR
30,N909EV,BOMBARDIER INC,CL-600-2B19
31,N820AS,CANADAIR,CL-600-2B19
32,N877AS,BOMBARDIER INC,CL-600-2B19
33,N11199,EMBRAER,EMB-145XR
34,N48901,EMBRAER,EMB-145LR
35,N14573,EMBRAER,EMB-145LR
36,N15574,EMBRAER,EMB-145LR
37,N15910,EMBRAER,EMB-145LR
38,N11137,EMBRAER,EMB-145XR
39,N13553,EMBRAER,EMB-145LR
40,N15572,EMBRAER,EMB-145LR
41,N34110,EMBRAER,EMB-145XR
42,N17196,EMBRAER,EMB-145XR
43,N756SK,BOMBARDIER INC,CL-600-2C10
44,N726SK,BOMBARDIER INC,CL-600-2C10
45,N928SW,BOMBARDIER INC,CL-600-2B19
46,N772SK,BOMBARDIER INC,CL-600-2C10
47,N840MQ,CANADAIR LTD,CF-5D
48,N938SW,BOMBARDIER INC,CL-600-2B19
49,N978SW,BOMBARDIER INC,CL-600-2B19
50,N958SW,BOMBARDIER INC,CL-600-2B19
51,N986CA,CANADAIR,CL-600-2B19
52,N908SW,BOMBARDIER INC,CL-600-2B19
