manufacturer,model,description
3D ROBOTICS,SOLO,
AERO COMMANDER,500 S,Aero Commander (500/600 Series Excpt 680FL)
AERO COMMANDER,500-B,Aero Commander (500/600 Series Excpt 680FL)
AGUSTA SPA,A109E,
AGUSTA SPA,A119,Agusta A-119 Koala
AIR TRACTOR INC,AT-602,
AIR TRACTOR INC,AT-802,Air Tractor AT-802
AIR TRACTOR INC,AT-802A,Air Tractor AT-802
AIRBUS,A319-112,Airbus Industrie A319
AIRBUS,A319-114,Airbus Industrie A319
AIRBUS,A319-115,Airbus Industrie A319
AIRBUS,A319-131,Airbus Industrie A319
AIRBUS,A319-132,Airbus Industrie A319
AIRBUS,A320-211,Airbus Industrie A320-100/200
AIRBUS,A320-212,Airbus Industrie A320-100/200
AIRBUS,A320-214,Airbus Industrie A320-100/200
AIRBUS,A320-231,Airbus Industrie A320-100/200
AIRBUS,A320-232,Airbus Industrie A320-100/200
AIRBUS,A320-251N,Airbus Industrie A320-200n
AIRBUS,A320-271N,Airbus Industrie A320-200n
AIRBUS,A321-211,Airbus Industrie A321
AIRBUS,A321-231,Airbus Industrie A321
AIRBUS,A321-253N,Airbus Industrie A321-200n
AIRBUS,A321-253NX,Airbus Industrie A321-200n
AIRBUS,A330-243,Airbus Industrie A330-200
AIRBUS,BD-500-1A10,A200-100 BD-500-1A10
AMERICAN AIRCRAFT INC,FALCON XP,
ANTARES,M-33,
ASTRAEUS AERIAL LLC,V.3CS,
AVIAT AIRCRAFT INC,A-1B,
BEECH,35-33,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A
BEECH,35-C33,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A
BEECH,58TC,
BEECH,65-A90,Beech King Air 65-A90 Queen Air
BEECH,A36,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A
BEECH,B-99,Beech 99 Airliner
BEECH,B300,
BEECH,C90,Beech King Air C-90
BEECH,C90A,Beech King Air C-90
BEECH,E-90,
BEECH,F90,
BEECH,K35,
BELL,206B,
BENHAM JOHN,DOMINATOR,
BFD SYSTEMS,GD-40,
BOEING,717-200,Boeing 717-200
BOEING,727-200,Boeing 727-200/231A
BOEING,727-223,Boeing 727-200/231A
BOEING,737-401,Boeing 737-400
BOEING,737-4B7,Boeing 737-400
BOEING,737-500,Boeing 737-500
BOEING,737-700,Boeing 737-700/700LR/Max 7
BOEING,737-71Q,Boeing 737-700/700LR/Max 7
BOEING,737-724,Boeing 737-700/700LR/Max 7
BOEING,737-732,Boeing 737-700/700LR/Max 7
BOEING,737-73V,Boeing 737-700/700LR/Max 7
BOEING,737-790,Boeing 737-700/700LR/Max 7
BOEING,737-7V3,Boeing 737-700/700LR/Max 7
BOEING,737-8,Boeing B737 Max 800
BOEING,737-800,Boeing 737-800
BOEING,737-823,Boeing 737-800
BOEING,737-824,Boeing 737-800
BOEING,737-832,Boeing 737-800
BOEING,737-890,Boeing 737-800
BOEING,737-8EH,Boeing 737-800
BOEING,737-8FH,Boeing 737-800
BOEING,737-9,Boeing B737 Max 900
BOEING,737-900ER,Boeing 737-900ER
BOEING,737-924,Boeing 737-900
BOEING,737-924ER,Boeing 737-900ER
BOEING,737-932ER,Boeing 737-900ER
BOEING,737-990,Boeing 737-900
BOEING,737-990ER,Boeing 737-900ER
BOEING,747-422,Boeing 747-400
BOEING,757-222,Boeing 757-200
BOEING,757-223,Boeing 757-200
BOEING,757-224,Boeing 757-200
BOEING,757-231,Boeing 757-200
BOEING,757-232,Boeing 757-200
