,airline,IATA_code,plane,seat_count
0,Aegean Airlines,A3, Airbus A319 (319),138
1,Aegean Airlines,A3, Airbus A320 (320),174
2,Aegean Airlines,A3, Airbus A321 (321),196
3,Aegean Airlines,A3, ATR 42-600 (ATR),48
4,Aegean Airlines,A3, Bombardier Q400 (DH4),78
5,Aer Lingus,EI, Airbus A330-200 (332) Layout 1,271
6,Aer Lingus,EI, Airbus A330-200 (332) Layout 2,266
7,Aer Lingus,EI, Airbus A330-300 (333),317
8,Aer Lingus,EI, Airbus A320 (320),174
9,Aer Lingus,EI, Airbus A321 (321),212
10,Aer Lingus,EI, Airbus A321LR (321),184
11,Aer Lingus,EI, Boeing 757-200 (752),177
12,Aeroflot,SU, Airbus A330-200 (332),241
13,Aeroflot,SU, Airbus A330-300 (333) Layout 1,296
14,Aeroflot,SU, Airbus A330-300 (333) Layout 2,301
15,Aeroflot,SU, Boeing 777-300ER (773),402
16,Aeroflot,SU, Airbus A320 (320) Layout 1,140
17,Aeroflot,SU, Airbus A320 (320) Layout 2,158
18,Aeroflot,SU, Airbus A321 (321) Layout 1,170
19,Aeroflot,SU, Airbus A321 (321) Layout 2,183
20,Aeroflot,SU, Airbus A321 (321) Layout 3,183
21,Aeroflot,SU, Boeing 737-800 (738),158
22,Aeroflot,SU, Sukhoi Superjet 100-95B (SU9),87
23,Aerolineas Argentinas,AR, Airbus A330-200 (332),272
24,Aerolineas Argentinas,AR, Boeing 737-700 (737),128
25,Aerolineas Argentinas,AR, Boeing 737-800 (738),170
26,Aeromexico,AM, Boeing 787-8 (788),243
27,Aeromexico,AM, Boeing 787-9 (789),274
28,Aeromexico,AM, Boeing 737 MAX 8 (7M8),166
29,Aeromexico,AM, Boeing 737-700 (737),124
30,Aeromexico,AM, Boeing 737-800 (738) Layout 1,160
31,Aeromexico,AM, Boeing 737-800 (738) Layout 2,186
32,Aeromexico,AM, Embraer 170 (E70),76
33,Aeromexico,AM, Embraer 190 (E90) Layout 1,99
34,Aeromexico,AM, Embraer 190 (E90) Layout 2,98
35,Air Arabia,G9, Airbus A320 (320),174
36,Air Arabia,G9, Airbus A321 (321),216
37,Air Astana,KC, Boeing 767-300ER (76W),223
38,Air Astana,KC, Airbus A320-200 (320),148
39,Air Astana,KC, Airbus A320neo (320),148
40,Air Astana,KC, Airbus A321-200 (321),180
41,Air Astana,KC, Airbus A321neo (A321),175
42,Air Astana,KC, Boeing 757-200 (752),166
43,Air Astana,KC, Embraer E-190 (E90) Layout 1,97
44,Air Astana,KC, Embraer E-190-E2 (E90) Layout 2,108
45,Air Austral,UU, Boeing 777-300ER (77W),438
46,Air Austral,UU, Boeing 787-8 (788),262
47,Air Austral,UU, Boeing 737-800 (738),162
48,Air Austral,UU, ATR 72-500 (AT7),64
49,Air Baltic,BT, Airbus A220-300 (CS3),145
50,Air Baltic,BT, Boeing 737-300 (733),144
51,Air Baltic,BT, Boeing 737-500 (735),120
