,tail_num,manufacturer,model
0,N489AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
1,N487AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
2,N426AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
3,N499AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
4,N395AA,BEECH,B300
5,N394AA,AVIAT AIRCRAFT INC,A-1B
6,N550AA,GULFSTREAM AEROSPACE,GV-SP (G550)
7,N520AA,KILDALL GARY,FALCON-XP
8,N582UW,AIRBUS INDUSTRIE,A321-231
9,N556UW,AIRBUS,A321-231
10,N579UW,AIRBUS INDUSTRIE,A321-231
11,N521UW,AIRBUS,A321-231
12,N180US,AIRBUS INDUSTRIE,A321-211
13,N193UW,AIRBUS,A321-211
14,N553UW,AIRBUS,A321-231
15,N508AY,AIRBUS,A321-231
16,N926UW,AIRBUS,A321-231
17,N177US,AIRBUS INDUSTRIE,A321-211
18,N509AY,AIRBUS,A321-231
19,N982VJ,AIRBUS,A321-231
20,N927UW,AIRBUS,A321-231
21,N980UY,AIRBUS,A321-231
22,N534UW,AIRBUS,A321-231
23,N572UW,AIRBUS INDUSTRIE,A321-231
24,N194UW,AIRBUS,A321-211
25,N760US,AIRBUS INDUSTRIE,A319-112
26,N607AS,BOEING,737-790
27,N492AS,BOEING,737-990ER
28,N423AS,BOEING,737-990ER
29,N467AS,BOEING,737-990ER
30,N306AS,BOEING,737-990
31,N613AS,BOEING,737-790
32,N178US,AIRBUS INDUSTRIE,A321-211
33,N543UW,AIRBUS,A321-231
34,N187US,AIRBUS,A321-211
35,N667AW,AIRBUS INDUSTRIE,A320-232
36,N156UW,AIRBUS,A321-211
37,N347NB,AIRBUS,A319-114
38,N975DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
39,N961AT,BOEING,717-200
40,N840DN,BOEING,737-932ER
41,N930AT,BOEING,717-200
42,N302NB,AIRBUS INDUSTRIE,A319-114
43,N349NB,AIRBUS,A319-114
44,N907DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
45,N959DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
46,N314US,AIRBUS INDUSTRIE,A320-211
47,N944DN,MCDONNELL DOUGLAS,MD-90-30
48,N3760C,BOEING,737-832
49,N684JW,EMBRAER,EMB-145LR
50,N687JS,EMBRAER,EMB-145LR
51,N624AE,EMBRAER,EMB-145LR
52,N626AE,EMBRAER,EMB-145LR
53,N922AT,BOEING,717-200
54,N12157,EMBRAER,EMB-145XR
55,N15574,EMBRAER,EMB-145LR
56,N14570,EMBRAER,EMB-145LR
57,N17196,EMBRAER,EMB-145XR
58,N19554,EMBRAER,EMB-145LR
59,N18556,EMBRAER,EMB-145LR
60,N14562,EMBRAER,EMB-145LR
61,N23139,EMBRAER,EMB-145XR
62,N14105,EMBRAER,EMB-145XR
63,N13161,EMBRAER,EMB-145XR
64,N12569,EMBRAER,EMB-145LR
65,N14977,EMBRAER,EMB-145LR
66,N13550,EMBRAER,EMB-145LR
67,N11535,EMBRAER,EMB-145LR
68,N13133,EMBRAER,EMB-145XR
69,N11551,EMBRAER,EMB-145LR
70,N22909,EMBRAER,EMB-145LR
71,N15980,EMBRAER,EMB-145LR
72,N17169,EMBRAER,EMB-145XR
73,N11544,EMBRAER,EMB-145LR
74,N13903,EMBRAER,EMB-145LR
75,N12540,EMBRAER,EMB-145LR
76,N13989,EMBRAER,EMB-145LR
